x,y,z,price,floor_count,floor_number,apartment_type,age_of_property,main_entrance_facing,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,has_servant_room,power_backup_type,is_gated_community,security_type
1772.3224201991443,5749.218976231924,2096.4244327411852,7900000,7,6,0,16,4,565,1,1,0,0,1,1,1,0,0,1,1
1773.2610205912836,5747.501034904715,2100.3376410998285,16000000,14,2,2,0,6,1150,2,2,0,0,2,0,0,0,0,0,2
1772.9105029023244,5750.227912166639,2093.1574969023063,8000000,16,10,0,1,2,725,1,2,0,0,2,0,0,0,0,1,2
1775.2635683671833,5748.83543664144,2094.987204076397,14600000,23,9,2,1,5,1070,2,2,0,1,2,0,0,0,2,1,2
1777.0016510896976,5748.152439489019,2095.3877121957444,16000000,21,4,2,0,5,1250,2,2,0,0,2,0,0,0,0,1,1
1771.3748739303862,5751.136959882274,2091.9597808476587,7500000,7,7,4,10,3,740,2,1,1,1,1,1,0,0,0,1,1
1777.5152491274243,5748.167257891953,2094.9113858152523,9000000,9,7,0,0,3,650,1,2,0,0,2,0,0,0,0,1,1
1775.048892220984,5747.664858501328,2098.3782081822064,17000000,8,3,2,1,1,1150,2,2,0,0,1,0,1,0,0,1,1
1777.0991873704857,5748.150803454988,2095.309480479419,12000000,24,4,2,1,1,1000,2,2,0,0,2,1,1,0,0,1,0
1776.03061430335,5750.010414065382,2091.1089151923484,14000000,22,10,2,0,4,975,2,2,0,1,2,0,0,0,2,1,2
1777.3048033740931,5751.195852572881,2086.761821879024,4000000,8,5,1,10,0,300,1,1,0,0,1,0,0,0,0,1,1
1775.923566234821,5747.272831043997,2098.7118650341977,8000000,8,2,0,12,1,550,1,2,0,0,1,1,1,0,0,1,1
1771.5937204541713,5749.8968235920365,2095.180948675689,16500000,21,20,3,5,2,1250,3,2,1,1,3,1,0,0,2,1,2
1771.3270434209874,5751.157575078192,2091.9436062824916,8500000,20,2,0,6,1,742,1,1,1,1,2,2,0,0,2,1,1
1775.319604463254,5750.265691555156,2091.010707416902,15000000,10,2,2,0,1,1114,2,2,0,0,2,0,0,0,0,1,1
1768.5320182320431,5754.3603822893965,2085.490851388789,15500000,17,4,2,1,1,1050,2,2,1,1,2,1,0,0,0,1,1
1773.6519752868355,5747.308273013408,2100.5349998304587,10000000,22,12,0,0,6,750,1,2,0,0,2,0,0,0,0,0,1
1775.5053434287192,5750.208954906151,2091.0090268511926,7300000,8,2,0,0,5,510,1,1,0,0,1,0,0,0,0,0,1
1776.5584925890387,5748.5759928331,2094.601388577958,11500000,20,12,2,1,2,930,2,2,1,1,2,1,0,0,0,1,2
1774.4823605644724,5748.016543170632,2097.893984805304,9200000,8,3,0,12,3,650,1,1,0,0,1,0,1,0,0,1,2
